# BDH Trained Checkpoint Evaluation Data: Memory Recall Collapse
# Checkpoint Model: bdh_d128.pt
# Bottleneck Dimension (d): 128 (n_embd)
# Latent Neuron Dimension (n): 2048 per head (N = d * 64 // nh) | Total Latent Neurons: 8192
# Attention Heads (nh): 4
# Layers: 4
# Evaluation Metrics: Nearest-Value Recall Accuracy, Normalized L2 Retrieval Error
# Correlation Regimes:
#   C=0: Independent / Uncorrelated (random uniform byte tokens)
#   C=2: Natural Language Correlation (Shakespeare text corpus)
#   C=8: High Topic Overlap / Cue Repetition (restricted character cluster)
#
t,acc_C0_independent,l2_err_C0_independent,acc_C2_correlated_text,l2_err_C2_correlated_text,acc_C8_topic_repetitive,l2_err_C8_topic_repetitive
10,0.981,0.822,0.833,0.831,0.694,0.957
31,0.900,1.327,0.506,1.043,0.389,1.225
51,0.775,1.665,0.412,1.116,0.257,1.496
72,0.786,1.742,0.344,1.293,0.192,1.814
93,0.718,1.979,0.274,1.447,0.148,1.947
114,0.638,2.222,0.230,1.454,0.124,2.149
134,0.646,2.361,0.205,1.548,0.106,2.377
155,0.616,2.531,0.172,1.671,0.091,2.667
176,0.565,2.704,0.155,1.803,0.084,2.808
196,0.546,2.808,0.140,1.825,0.072,3.009
217,0.493,2.935,0.135,2.048,0.067,3.239
238,0.493,3.202,0.121,2.149,0.060,3.445
259,0.469,3.370,0.106,2.323,0.056,3.729
279,0.451,3.438,0.098,2.373,0.051,3.827
300,0.440,3.513,0.094,2.601,0.048,4.106
